ID,source,target,year
564,benthjerem000249,benthjerem003758,1789
565,benthjerem000249,benthjerem003758,1789
566,pettywilli002809,benthjerem000249,1789
567,benthjerem000249,benthjerem003758,1789
568,benthjerem000249,benthjerem003758,1789
569,benthjerem000249,benthjerem003758,1789
570,benthjerem000249,butlecharl000489,1789
571,benthjerem000249,dumonetien001421,1789
572,wilsogeorg003565,benthjerem000249,1789
573,dumonetien001421,benthjerem000249,1789
574,benthjerem000249,dumonetien001421,1790
575,benthjerem000249,benthjerem003758,1790
576,benthsamue000251,benthjerem000249,1790
577,benthjerem000249,parnejohn0003961,1790
578,benthsamue000251,benthjerem000249,1790
579,alexajames003740,benthjerem000249,1790
580,dumonetien001421,benthjerem000249,1791
581,benthsamue000251,benthjerem000249,1791
582,bunbucharl000466,benthjerem000249,1791
583,benthjerem003758,benthjerem000249,1791
584,benthsamue000251,benthjerem000249,1791
585,benthsamue000251,benthjerem000249,1791
586,ingenjan00002043,benthjerem000249,1791
587,ingenjan00002043,benthjerem000249,1791
588,pettywilli002809,benthjerem000249,1791
589,benthsamue000251,benthjerem000249,1791
590,benthsamue000251,benthjerem000249,1791
591,pettywilli002809,benthjerem000249,1791
592,polecregin000532,benthjerem000249,1791
593,benthjerem000249,polecregin000532,1791
594,pettywilli002809,benthjerem000249,1791
595,stanhcharl002444,benthjerem000249,1792
596,barinfranc000195,benthjerem000249,1792
597,ingenjan00002043,benthjerem000249,1792
598,burtofranc003787,benthjerem000249,1792
599,burtofranc003787,benthjerem000249,1792
600,burtofranc003787,benthjerem000249,1792
601,larocfranc004020,benthjerem000249,1792
602,gallojeana003853,benthjerem000249,1792
603,brioibonal003819,benthjerem000249,1792
604,delesjules003835,benthjerem000249,1792
605,fitzhalley001567,benthjerem000249,1792
606,benthjerem000249,forbejohn0001588,1793
607,mainwwilli003933,benthjerem000249,1793
608,weddealexa003524,benthjerem000249,1793
609,romilsamue003015,benthjerem000249,1793
610,benthjerem000249,benthsamue000251,1793
1079,boswejames000368,burnecharl000481,1792
1080,boswejames000368,leflemicha004098,1793
1234,cowpewilli003625,heskeharri017200,1789
1235,cowpewilli003625,heskeharri017200,1789
1236,cowpewilli003625,heskeharri017200,1789
1237,cowpewilli003625,rosesamue0003023,1789
1238,cowpewilli003625,heskeharri017200,1789
1239,cowpewilli003625,heskeharri017200,1789
1240,cowpewilli003625,rosesamue0003023,1789
1241,cowpewilli003625,kingmarga0017224,1789
1242,cowpewilli003625,throcmaria017225,1789
1243,cowpewilli003625,kingmarga0017224,1789
1244,cowpewilli003625,rosesamue0003023,1789
1245,cowpewilli003625,madanmarti017227,1789
1246,cowpewilli003625,heskeharri017200,1789
1247,cowpewilli003625,rosesamue0003023,1789
1248,cowpewilli003625,dornfjosia017220,1789
1249,cowpewilli003625,heskeharri017200,1789
1250,cowpewilli003625,throcmaria017225,1789
1251,cowpewilli003625,rosesamue0003023,1789
1252,cowpewilli003625,kingmarga0017224,1789
1253,cowpewilli003625,rosesamue0003023,1789
1254,cowpewilli003625,hilljosep0017217,1789
1255,cowpewilli003625,rosesamue0003023,1789
1256,cowpewilli003625,rosesamue0003023,1789
1257,cowpewilli003625,kingmarga0017224,1790
1258,cowpewilli003625,kingmarga0017224,1790
1259,cowpewilli003625,cowpemaria017226,1790
1260,cowpewilli003625,heskeharri017200,1790
1261,cowpewilli003625,heskeharri017200,1790
1262,cowpewilli003625,rowleclotw017192,1790
1263,cowpewilli003625,bodhaanne0017185,1790
1264,cowpewilli003625,johnsjohn0017209,1790
1265,cowpewilli003625,heskeharri017200,1790
1266,cowpewilli003625,rosesamue0003023,1790
1267,cowpewilli003625,throcmaria017225,1790
1268,cowpewilli003625,heskeharri017200,1790
1269,cowpewilli003625,johnsjohn0017209,1790
1270,cowpewilli003625,johnsjohn0017209,1790
1271,cowpewilli003625,heskeharri017200,1790
1272,cowpewilli003625,heskeharri017200,1790
1273,cowpewilli003625,rosesamue0003023,1790
1274,cowpewilli003625,throcmaria017225,1790
1275,cowpewilli003625,heskeharri017200,1790
1276,cowpewilli003625,churcwalte017243,1790
1277,cowpewilli003625,heskeharri017200,1790
1278,cowpewilli003625,johnsjohn0017209,1790
1279,cowpewilli003625,rosesamue0003023,1790
1280,cowpewilli003625,kingmarga0017224,1790
1281,cowpewilli003625,bagotwalte017242,1790
1282,cowpewilli003625,heskeharri017200,1790
1283,cowpewilli003625,bodhaanne0017185,1790
1284,cowpewilli003625,johnsjohn0017209,1790
1285,cowpewilli003625,kingmarga0017224,1790
1286,cowpewilli003625,johnsjohn0017209,1790
1287,cowpewilli003625,kingmarga0017224,1790
1288,cowpewilli003625,baconjohn0017207,1790
1289,cowpewilli003625,rosesamue0003023,1790
1290,cowpewilli003625,hilljosep0017217,1790
1291,cowpewilli003625,bodhaanne0017185,1790
1292,cowpewilli003625,kingmarga0017224,1790
1293,cowpewilli003625,throcmaria017225,1790
1294,cowpewilli003625,bodhaanne0017185,1790
1295,cowpewilli003625,ballsharri017201,1790
1296,cowpewilli003625,kingmarga0017224,1790
1297,cowpewilli003625,rosesamue0003023,1790
1298,cowpewilli003625,johnsjosep017219,1790
1299,cowpewilli003625,johnsjosep017219,1790
1300,cowpewilli003625,johnsjohn0017209,1790
1301,cowpewilli003625,churcwalte017243,1790
1302,cowpewilli003625,johnsjohn0017209,1791
1303,cowpewilli003625,rosesamue0003023,1791
1304,cowpewilli003625,rowleclotw017192,1791
1305,cowpewilli003625,throcmaria017225,1791
1306,cowpewilli003625,rosesamue0003023,1791
1307,cowpewilli003625,bodhaanne0017185,1791
1308,cowpewilli003625,throcmaria017225,1791
1309,cowpewilli003625,baconjohn0017207,1791
1310,cowpewilli003625,kingmarga0017224,1791
1311,cowpewilli003625,heskeharri017200,1791
1312,cowpewilli003625,johnsjohn0017209,1791
1313,cowpewilli003625,throcmaria017225,1791
1314,cowpewilli003625,rosesamue0003023,1791
1315,cowpewilli003625,bodhaanne0017185,1791
1316,cowpewilli003625,rosesamue0003023,1791
1317,cowpewilli003625,ballsharri017201,1791
1318,cowpewilli003625,bagotwalte017242,1791
1319,cowpewilli003625,throcmaria017225,1791
1320,cowpewilli003625,heskeharri017200,1791
1321,cowpewilli003625,johnsjohn0017209,1791
1322,cowpewilli003625,kingmarga0017224,1791
1323,cowpewilli003625,heskeharri017200,1791
1324,cowpewilli003625,johnsjohn0017209,1791
1325,cowpewilli003625,cogswjames017193,1791
1326,cowpewilli003625,heskeharri017200,1791
1327,cowpewilli003625,heskeharri017200,1791
1328,cowpewilli003625,rosesamue0003023,1791
1329,cowpewilli003625,rosesamue0003023,1791
1330,cowpewilli003625,heskeharri017200,1791
1331,cowpewilli003625,hilljosep0017217,1791
1332,cowpewilli003625,bullwilli0017244,1791
1333,cowpewilli003625,kingmarga0017224,1791
1334,cowpewilli003625,churcwalte017243,1791
1335,cowpewilli003625,rosesamue0003023,1791
1336,cowpewilli003625,johnsjohn0017209,1791
1337,cowpewilli003625,heskeharri017200,1791
1338,cowpewilli003625,bagotwalte017242,1791
1339,cowpewilli003625,bagotwalte017242,1791
1340,cowpewilli003625,king000000024734,1791
1341,cowpewilli003625,rosesamue0003023,1791
1342,cowpewilli003625,kingmarga0017224,1791
1343,cowpewilli003625,rowleclotw017192,1791
1344,cowpewilli003625,bagotwalte017242,1791
1345,cowpewilli003625,rosesamue0003023,1791
1346,cowpewilli003625,bagotwalte017242,1791
1347,cowpewilli003625,bodhaanne0017185,1791
1348,cowpewilli003625,rosesamue0003023,1791
1349,cowpewilli003625,rosesamue0003023,1792
1350,cowpewilli003625,kingmarga0017224,1792
1351,cowpewilli003625,hewitcatha017188,1792
1352,cowpewilli003625,rosesamue0003023,1792
1353,cowpewilli003625,bagotwalte017242,1792
1354,cowpewilli003625,teedosamue017237,1792
1355,cowpewilli003625,rosesamue0003023,1792
1356,cowpewilli003625,kingmarga0017224,1792
1357,cowpewilli003625,haylewilli017247,1792
1358,cowpewilli003625,haylewilli017247,1792
1359,cowpewilli003625,heskeharri017200,1792
1360,cowpewilli003625,johnsjohn0017209,1792
1361,cowpewilli003625,rosesamue0003023,1792
1362,cowpewilli003625,heskeharri017200,1792
1363,cowpewilli003625,haylewilli017247,1792
1364,cowpewilli003625,hilljosep0017217,1792
1365,cowpewilli003625,haylewilli017247,1792
1366,cowpewilli003625,ryejosep00004216,1792
1367,cowpewilli003625,throcmaria017225,1792
1368,cowpewilli003625,rosesamue0003023,1792
1369,cowpewilli003625,heskeharri017200,1792
1370,cowpewilli003625,haylewilli017247,1792
1371,cowpewilli003625,heskeharri017200,1792
1372,cowpewilli003625,haylewilli017247,1792
1373,cowpewilli003625,heskeharri017200,1792
1374,cowpewilli003625,heskeharri017200,1792
