"number","name","ID","Label"
"1","Alexander, Alexander John","alexaalexa004404","Alexander, A"
"2","Alexander, James Wadman","alexajames003740","Alexander, J"
"3","Alison, Archibald","alisoarchi000064","Alison, A"
"4","Bacon, John","baconjohn0017207","Bacon, J"
"5","Bagot, Walter","bagotwalte017242","Bagot, W"
"6","Balls, Harriot","ballsharri017201","Balls, H"
"7","Barde, Jean Paul","bardejeanp023728","Barde, J"
"8","Baring, 1st baronet, Sir Francis","barinfranc000195","Baring, 1"
"9","Beauchâteau, Christophle","beaucchris023715","Beauchâteau, C"
"10","Bentham, Jeremiah","benthjerem003758","Bentham, J"
"11","Bentham, Jeremy","benthjerem000249","Bentham, J"
"12","Bentham, Sir Samuel","benthsamue000251","Bentham, S"
"13","Bernard, Thomas","bernathoma005112","Bernard, T"
"14","Bertrand, Jean","bertrjean0023694","Bertrand, J"
"15","Bingham, Mrs L. M.","binghlm000000303","Bingham, M"
"16","Bodham, Mrs Anne","bodhaanne0017185","Bodham, M"
"17","Boswell, James","boswejames000368","Boswell, J"
"18","Briois de Baumez, Bon Albert","brioibonal003819","Briois de Baumez, B"
"19","Bull, William","bullwilli0017244","Bull, W"
"20","Bunbury, 6th baronet, Sir Charles","bunbucharl000466","Bunbury, 6"
"21","Burney, Rev. Charles","burnecharl000481","Burney, R"
"22","Burton, Francis","burtofranc003787","Burton, F"
"23","Butler, Charles","butlecharl000489","Butler, C"
"24","Cadell, Thomas","cadelthoma000499","Cadell, T"
"25","Caffieri, Jean Jacques","caffijeanj000500","Caffieri, J"
"26","Carwardine, Thomas","carwathoma017239","Carwardine, T"
"27","Charrière, Isabelle de","charrisabe004087","Charrière, I"
"28","Churchey, Walter","churcwalte017243","Churchey, W"
"29","Cogswell, James","cogswjames017193","Cogswell, J"
"30","Comédie française","comediefra000717","C"
"31","Courtenay-Throckmorton, Mrs Catharine","courtcatha017189","Courtenay-Throckmorton, M"
"32","Cowper, Maria Frances Cecilia","cowpemaria017226","Cowper, M"
"33","Cowper, Spencer","cowpespenc017223","Cowper, S"
"34","Cowper, William","cowpewilli003625","Cowper, W"
"35","Cullen, Robert","cullerober000779","Cullen, R"
"36","De Tournes, Samuel","tournsamue023590","De Tournes, S"
"37","Delessert, Jules Paul Benjamin","delesjules003835","Delessert, J"
"38","Dornford, Josiah","dornfjosia017220","Dornford, J"
"39","Du Peyrou, Pierre Alexandre","dupeypierr001382","Du Peyrou, P"
"40","Dumont, ?Étienne","dumonetien001421","Dumont, ?"
"41","Dumont, Etienne","dumonetien001421","Dumont, E"
"42","Fitzherbert, Baron St Helens, Alleyne","fitzhalley001567","Fitzherbert, B"
"43","Forbes, John","forbejohn0001588","Forbes, J"
"44","Gallois, Jean Antoine Gauvin","gallojeana003853","Gallois, J"
"45","Gibbon, Edward","gibboedwar001727","Gibbon, E"
"46","Girardin, marquis de Girardin, René Louis de","girarrenel024528","Girardin, m"
"47","Greatheed, Samuel","greatsamue017235","Greatheed, S"
"48","Hayley, William","haylewilli017247","Hayley, W"
"49","Herbert, 2nd earl of Caernarvon, Henry George","herbehenry001945","Herbert, 2"
"50","Hesketh, Lady Hesketh, Harriot","heskeharri017200","Hesketh, L"
"51","Hewitt, Mrs Catharine","hewitcatha017188","Hewitt, M"
"52","Hill, Joseph","hilljosep0017217","Hill, J"
"53","Holland, Henry","hollahenry005185","Holland, H"
"54","Ingenhousz, Jan","ingenjan00002043","Ingenhousz, J"
"55","Johnson, John","johnsjohn0017209","Johnson, J"
"56","Johnson, Joseph","johnsjosep017219","Johnson, J"
"57","King, Mr ","king000000024734","King, M"
"58","King, Mrs Margaret","kingmarga0017224","King, M"
"59","La Rochefoucauld, duc de La Rochefoucauld-Liancourt, François Frédéric de","larocfranc004020","La Rochefoucauld, d"
"60","Lawrence, Thomas","lawrethoma017240","Lawrence, T"
"61","Le Fleming, baronet, Sir Michael","leflemicha004098","Le Fleming, b"
"62","Levasseur, Marie Thérèse","levasmarie022969","Levasseur, M"
"63","Mackenzie, Alexander","mackealexa005715","Mackenzie, A"
"64","Mackenzie, Roderic","mackeroder004919","Mackenzie, R"
"65","Madan, Martin","madanmarti017227","Madan, M"
"66","Mainwaring, William","mainwwilli003933","Mainwaring, W"
"67","Menteath, Dr James","mentejames002532","Menteath, D"
"68","Mercier, Louis Sébastien","mercilouis023294","Mercier, L"
"69","Moultou, Pierre","moultpierr023258","Moultou, P"
"70","Newton, John","newtojohn0017211","Newton, J"
"71","Parnell, Sir John","parnejohn0003961","Parnell, S"
"72","Peake, Richard","peakericha005240","Peake, R"
"73","Petty, 1st marquess of Lansdowne, William","pettywilli002809","Petty, 1"
"74","Phillips, Richard","phillricha017230","Phillips, R"
"75","Pole Carew, Reginald","polecregin000532","Pole Carew, R"
"76","Reid, Janet","reidjanet0002943","Reid, J"
"77","Reid, Thomas","reidthoma0002952","Reid, T"
"78","Riqueti, comte de Mirabeau, Honoré Gabriel","riquehonor002984","Riqueti, c"
"79","Romilly, Sir Samuel","romilsamue003015","Romilly, S"
"80","Romney, George","romnegeorg017199","Romney, G"
"81","Rose, Samuel","rosesamue0003023","Rose, S"
"82","Rowley, Clotworthy","rowleclotw017192","Rowley, C"
"83","Rye, Joseph Jekyll","ryejosep00004216","Rye, J"
"84","Sheridan, Richard Brinsley","sheriricha003138","Sheridan, R"
"85","Smith, Adam","smithadam0003178","Smith, A"
"86","Stanhope, 3rd Earl Stanhope, Charles","stanhcharl002444","Stanhope, 3"
"87","Stewart, Dugald","stewadugal003237","Stewart, D"
"88","Teedon, Samuel","teedosamue017237","Teedon, S"
"89","Throckmorton, Lady Throckmorton, Maria Catherine","throcmaria017225","Throckmorton, L"
"90","Vernes, Jacob","vernejacob003434","Vernes, J"
"91","Wedderburn, 1st earl of Rosslyn, Alexander","weddealexa003524","Wedderburn, 1"
"92","Wilhelmi, Samuel","wilhesamue023034","Wilhelmi, S"
"93","Williams, Henry Jonathan","willihenry004535","Williams, H"
"94","Wilson, George","wilsogeorg003565","Wilson, G"
"95","Witel, Jérémie","witeljerem023040","Witel, J"
